,first_name,last_name,date_of_birth,source,source_link,nationalities,aliases,addresses,sanctions_programs,active,notes,source_id,entity_type
41,Leonid,Zhuravskiy,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,42,Individual
42,Igor Petrovich,Sergeenko,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,43,Individual
43,Aleksey Aleksandrovich,Volkov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,44,Individual
44,Ivan Stanislavovich,Tertel,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,45,Individual
45,Ivan Danilovich,Noskevich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,46,Individual
46,Roman Ivanovich,Melnik,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,47,Individual
47,Andrey Alekseyevich,Ravkov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,48,Individual
48,Sergey Yakovlevich,Azemsha,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,49,Individual
49,Andrey Fedorovich,Smal,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,50,Individual
50,Andrey Yuryevich,Pavlyuchenko,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,51,Individual
51,Natalya Nikolayevna,Eismont,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,52,Individual
52,Igor Ivanovich,Buzovskiy,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,53,Individual
53,Sergey Yevgenyevich,Zubkov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,54,Individual
54,Petr Petrovich,Miklashevich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,55,Individual
55,Aleksey,Oleksin,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Aliaksei Aleksin'}],[],"['1, Part 1']",True,,56,Individual
56,Aleksey Nikolayevich,Avramenko,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,57,Individual
57,Leonid Nikolayevich,Churo,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,58,Individual
58,Oleg Sergeyevich,Gaidukevich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,59,Individual
59,Igor Vladimirovich,Golub,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,60,Individual
60,Andrey Nikolayevich,Gurtsevich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,61,Individual
61,Valeriy Valeryevich,Ivankovich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,62,Individual
62,Nikolay Nikolayevich,Karpenkov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,63,Individual
63,Viktor Gennadyevich,Khrenin,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,64,Individual
64,Igor Vladimirovich,Lutsky,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,65,Individual
65,Maxim Vladimirovich,Ryzhenkov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,66,Individual
66,Andrey Ivanovich,Shved,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,67,Individual
67,Artem Igorevich,Sikorsky,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,68,Individual
68,Nikolay Nikolayevich,Vorobei,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,69,Individual
69,Aleksandr Vladimirovich,Vasiliuk,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,70,Individual
70,Aleksandr Nikolayevich,Zaitsev,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,71,Individual
71,Oleg Nikolayevich,Belyakov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,72,Individual
72,Sergei,Yepikhov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Siarhei Yepikhau'}],[],"['1, Part 1']",True,,73,Individual
73,Natalia Mikhailovna,Buguk,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Natalia Mikhailauna Buhuk'}],[],"['1, Part 1']",True,,74,Individual
74,Alina Sergeevna,Kasyanchyk,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Alina Siarhieeuna Kasianchyk'}],[],"['1, Part 1']",True,,75,Individual
75,Maksim Leonidovich,Trusevich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Maksim Leanidavich Trusevich'}],[],"['1, Part 1']",True,,76,Individual
76,Dmitriy,Karsyuk,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Dzmitry (Zmitser) Karsiuk'}],[],"['1, Part 1']",True,,77,Individual
77,Andrei,Parshyn,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,78,Individual
78,Anatol,Lapo,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Anatoli Petrovich Lappo'}],[],"['1, Part 1']",True,,79,Individual
79,Ihar,Butkevich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Igor Evgenevich Butkevich'}],[],"['1, Part 1']",True,,80,Individual
80,Raman,Podlineu,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Roman Leonidovich Podlinev'}],[],"['1, Part 1']",True,,81,Individual
81,Ihar,Pechan,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Igor Nikolaevich Pechen'}],[],"['1, Part 1']",True,,82,Individual
82,Siarhei,Novikau,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Sergey Ignatovich Novikof'}],[],"['1, Part 1']",True,,83,Individual
83,Konstantin,Molostov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Konstantin Molostof'}],[],"['1, Part 1']",True,,84,Individual
84,Igor,Gutnik,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Igor Nikolaevich Gutnik'}],[],"['1, Part 1']",True,,85,Individual
85,Dmitry,Lukashenko,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,86,Individual
86,Dmitriy,Korzyuk,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Dmitry Karzyuk'}],[],"['1, Part 1']",True,,87,Individual
87,Oleg,Larin,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,88,Individual
88,Denis,Chemodanov,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,89,Individual
89,Mikhail,Bedunkevich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,90,Individual
90,Vasiliy,Sysoyev,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,91,Individual
91,Dmitriy,Kovach,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,92,Individual
92,Aleksandr,Zhivlyuk,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,93,Individual
93,Andrei,Makarevich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,94,Individual
94,Vladimir,Vashkevich,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,95,Individual
95,Aleksandr,Alyoksa,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[],[],"['1, Part 1']",True,,96,Individual
96,Alena Vasilevna,Litvina,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Елена Васильевна ЛИТВИНА'}],[],"['1, Part 1']",True,,97,Individual
97,Aleh Heorhievich,Karazei,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],[{'name': 'Олег Георгиевич Каразей'}],[],"['1, Part 1']",True,,98,Individual
98,Ruslan Khikmetavich,MASHADZIYEU,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],"[{'name': 'Ruslan Khikmetavich MASHADZEOU'}, {'name': 'Ruslan Chikmetovič MAŠADZEV'}, {'name': ' Mashadiyev Ruslan Khikmetovich'}, {'name': 'Ruslan Khikmetovich MASHADIYEV'}, {'name': ' Belarusian: Руслан Хiкметовiч МАШАДЗЕЎ'}, {'name': 'Russian: Руслан Хикметович МАШАДИЕВ'}]",[],"['1, Part 1']",True,,99,Individual
99,Sergey Vladimirovich,KARCHEVSKY,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],"[{'name': 'Siarhei Uladzimiravich Karcheusky'}, {'name': 'Belarusian: Сяргей Уладзiмiравiч Карчэўскi'}, {'name': ' Russian: Сергей Владимирович Карчевский'}]",[],"['1, Part 1']",True,,100,Individual
100,Svetlana Aleksandrovna,BONDARENKO,,Consolidated Canadian Autonomous Sanctions List,https://www.international.gc.ca/world-monde/international_relations-relations_internationales/sanctions/consolidated-consolide.aspx?lang=eng,['Belarus / Bélarus'],"[{'name': 'Sviatlana Aliaksandrauna BANDARENKA'}, {'name': 'Belarusian: Святлана Аляксандраўна БАНДАРЭНКА'}, {'name': 'Russian: Светлана Александровна БОНДАРЕНКО'}]",[],"['1, Part 1']",True,,101,Individual
